uid,cid,qid,acc,time,conf,acc/time,type
5f05056acc8d327f2948bbc0,SU,2,1,27.34,5,0.036576444769568395,1
5f05056acc8d327f2948bbc0,SU,3,1,19.176,5,0.05214851898206092,1
5f05056acc8d327f2948bbc0,SU,4,1,26.168,4,0.03821461326811373,1
5f05056acc8d327f2948bbc0,SU,5,1,38.567,4,0.025928902948116266,1
5f05056acc8d327f2948bbc0,SU,6,1,38.191,5,0.02618417951873478,1
5f05056acc8d327f2948bbc0,SU,8,1,8.37,4,0.11947431302270013,2
5f05056acc8d327f2948bbc0,SU,9,0,16.693,5,0.0,2
5f05056acc8d327f2948bbc0,SU,10,1,71.909,3,0.013906465115632257,2
5f05056acc8d327f2948bbc0,SU,11,1,30.935,5,0.0323258445126879,2
5f05056acc8d327f2948bbc0,SU,12,1,30.34,4,0.03295978905735003,2
5e8fa4b58028052a7880c8ac,SU,2,1,30.475,4,0.03281378178835111,1
5e8fa4b58028052a7880c8ac,SU,3,1,40.172,4,0.02489296027083541,1
5e8fa4b58028052a7880c8ac,SU,4,1,35.46,4,0.02820078962210942,1
5e8fa4b58028052a7880c8ac,SU,5,1,75.305,4,0.013279330721731623,1
5e8fa4b58028052a7880c8ac,SU,6,1,50.108,4,0.0199568931108805,1
5e8fa4b58028052a7880c8ac,SU,8,1,38.326,4,0.026091948024839533,2
5e8fa4b58028052a7880c8ac,SU,9,0,67.88,4,0.0,2
5e8fa4b58028052a7880c8ac,SU,10,0,164.559,4,0.0,2
5e8fa4b58028052a7880c8ac,SU,11,0,99.852,4,0.0,2
5e8fa4b58028052a7880c8ac,SU,12,0,75.891,4,0.0,2
5c1d0cc2e2d9150001b599fa,SU,2,1,48.509,4,0.020614731286977675,1
5c1d0cc2e2d9150001b599fa,SU,3,1,41.186,4,0.024280095177973096,1
5c1d0cc2e2d9150001b599fa,SU,4,1,51.662,4,0.01935658704657195,1
5c1d0cc2e2d9150001b599fa,SU,5,1,86.331,4,0.01158332464583985,1
5c1d0cc2e2d9150001b599fa,SU,6,1,43.565,4,0.022954206358315164,1
5c1d0cc2e2d9150001b599fa,SU,8,1,17.685,4,0.05654509471303365,2
5c1d0cc2e2d9150001b599fa,SU,9,1,38.272,4,0.02612876254180602,2
5c1d0cc2e2d9150001b599fa,SU,10,1,121.486,4,0.0082314011491036,2
5c1d0cc2e2d9150001b599fa,SU,11,1,119.142,4,0.008393345755485051,2
5c1d0cc2e2d9150001b599fa,SU,12,1,69.13,3,0.014465499783017505,2
5cff9c20c7ed63000188e9c5,SU,2,1,21.184,5,0.04720543806646525,1
5cff9c20c7ed63000188e9c5,SU,3,1,30.3,5,0.033003300330033,1
5cff9c20c7ed63000188e9c5,SU,4,1,38.104,5,0.02624396388830569,1
5cff9c20c7ed63000188e9c5,SU,5,1,31.527,5,0.031718844165318616,1
5cff9c20c7ed63000188e9c5,SU,6,1,35.752,5,0.02797046319087044,1
5cff9c20c7ed63000188e9c5,SU,8,1,9.929,5,0.10071507704703393,2
5cff9c20c7ed63000188e9c5,SU,9,1,13.702,5,0.07298204641658153,2
5cff9c20c7ed63000188e9c5,SU,10,1,49.358,5,0.020260140200170185,2
5cff9c20c7ed63000188e9c5,SU,11,0,34.297,4,0.0,2
5cff9c20c7ed63000188e9c5,SU,12,1,23.929,5,0.04179029629320072,2
5f2d4939e1b8742bba60a1e4,SU,2,1,37.132,5,0.026930949046644406,1
5f2d4939e1b8742bba60a1e4,SU,3,1,35.805,5,0.027929060187124703,1
5f2d4939e1b8742bba60a1e4,SU,4,1,35.128,5,0.02846731951719426,1
5f2d4939e1b8742bba60a1e4,SU,5,1,50.436,4,0.01982710762154017,1
5f2d4939e1b8742bba60a1e4,SU,6,1,40.138,5,0.024914046539438937,1
5f2d4939e1b8742bba60a1e4,SU,8,1,15.135,5,0.06607201850016518,2
