uid,cid,acc,time,conf,type,acc/time
5f05056acc8d327f2948bbc0,SU,1.0,29.8884,4.6,1,0.033457796335702145
5f05056acc8d327f2948bbc0,SU,0.8,31.649400000000004,4.2,2,0.025276940479124405
5e8fa4b58028052a7880c8ac,SU,1.0,46.304,4.0,1,0.02159640635798203
5e8fa4b58028052a7880c8ac,SU,0.2,89.30159999999998,4.0,2,0.002239601530095766
5c1d0cc2e2d9150001b599fa,SU,1.0,54.2506,4.0,1,0.018432975856488225
5c1d0cc2e2d9150001b599fa,SU,1.0,73.143,3.8,2,0.013671848297171295
5cff9c20c7ed63000188e9c5,SU,1.0,31.373399999999997,5.0,1,0.031874135414076896
5cff9c20c7ed63000188e9c5,SU,0.8,26.243000000000002,4.8,2,0.0304843196280913
5f2d4939e1b8742bba60a1e4,SU,1.0,39.7278,4.8,1,0.025171290632755902
5f2d4939e1b8742bba60a1e4,SU,1.0,29.51059999999999,4.4,2,0.033886129051933896
5f2c831ca1dd731731121d60,SU,1.0,50.71900000000001,4.8,1,0.019716477059878938
5f2c831ca1dd731731121d60,SU,1.0,53.67560000000001,5.0,2,0.0186304391567118
5c43724ab00b3300018f49bf,SU,1.0,78.14320000000001,4.4,1,0.012797018806498837
5c43724ab00b3300018f49bf,SU,1.0,89.9914,4.2,2,0.011112172940969915
5cd08e2ff59e0a0013563602,SU,1.0,43.825,4.4,1,0.022818026240730177
5cd08e2ff59e0a0013563602,SU,1.0,42.74059999999999,4.2,2,0.02339695745965195
5f4ea17781df140b24213eed,SU,1.0,38.36579999999999,3.8,1,0.026064880701041036
5f4ea17781df140b24213eed,SU,1.0,26.006,3.2,2,0.038452664769668535
5f3d2e6a0f32b804d33c162b,SU,1.0,44.69840000000001,5.0,1,0.022372165446637907
5f3d2e6a0f32b804d33c162b,SU,0.8,80.0796,3.6,2,0.009990059890409044
5a6c076fd5d4cb0001d65a17,SU,1.0,66.4746,5.0,1,0.015043339862142834
5a6c076fd5d4cb0001d65a17,SU,1.0,59.368000000000016,5.0,2,0.016844091092844626
5eb19ec151b7092bae964c92,SU,1.0,38.631,5.0,1,0.02588594651963449
5eb19ec151b7092bae964c92,SU,1.0,21.7622,5.0,2,0.0459512365477755
5ef504d47faaa01261c64983,SU,0.6,19.8048,4.0,1,0.030295685894328645
5ef504d47faaa01261c64983,SU,0.8,21.7974,4.0,2,0.036701624964445304
5f43f7980ce1236cd3d256e5,SU,1.0,48.3108,5.0,1,0.020699305331313082
5f43f7980ce1236cd3d256e5,SU,1.0,76.80519999999999,5.0,2,0.01301995177409863
5ed0e57a59e3fc1c70a782b9,SU,0.6,19.7422,3.0,1,0.030391749653027524
5ed0e57a59e3fc1c70a782b9,SU,0.8,20.811600000000002,2.8,2,0.03844010071306387
5dd71029c944d16b0668c95f,SU,0.8,34.601,2.8,1,0.023120719054362592
5dd71029c944d16b0668c95f,SU,0.6,31.867600000000003,2.6,2,0.01882790043806248
56f81ffe1b99b8000636b9c8,SU,1.0,40.1726,3.0,1,0.024892588480705753
56f81ffe1b99b8000636b9c8,SU,1.0,33.0188,2.8,2,0.030285776587883267
5a8f13595292b80001235e09,SU,0.8,13.3094,4.4,1,0.0601078936691361
5a8f13595292b80001235e09,SU,0.6,15.942199999999996,4.2,2,0.03763595990515739
5f5d31087a4abb5718b814d6,SU,0.8,2.3602000000000003,3.4,1,0.33895432590458435
5f5d31087a4abb5718b814d6,SU,0.2,3.3609999999999998,3.4,2,0.059506099375185965
5f080e327d6f3f0009992faf,SU,0.8,23.5122,3.0,1,0.03402488920645452
5f080e327d6f3f0009992faf,SU,1.0,30.510399999999997,2.8,2,0.03277570926634853
5f36b817c592230c67533ae3,SU,0.8,36.703799999999994,4.4,1,0.021796108304862172
5f36b817c592230c67533ae3,SU,1.0,39.3816,4.0,2,0.02539256911857314
5e9bcccaf08add0db471c5a8,SU,1.0,96.009,4.4,1,0.010415690195710819
5e9bcccaf08add0db471c5a8,SU,1.0,39.803399999999996,4.6,2,0.02512348191360537
5f491f40c53d36421f2a6bf5,SU,1.0,65.1862,4.6,1,0.0153406702645652
5f491f40c53d36421f2a6bf5,SU,0.8,44.53159999999999,5.0,2,0.017964771083904468
5e9bca9fb3c35c0e577fb2f6,SU,1.0,28.945,4.8,1,0.03454828122300915
5e9bca9fb3c35c0e577fb2f6,SU,1.0,24.492800000000006,4.6,2,0.040828325058792775
5c02a8f12c022f000191edbb,SU,1.0,29.204999999999995,3.4,1,0.034240712206813906
5c02a8f12c022f000191edbb,SU,0.6,25.869000000000007,4.8,2,0.02319378406587034
5f2aec347b4ac542bc5f34d6,SU,0.8,31.891399999999997,4.8,1,0.025085132668995407
5f2aec347b4ac542bc5f34d6,SU,0.8,58.08420000000001,4.4,2,0.013773108693930534
5f58140ca41f0037c385bc5c,SU,1.0,49.017,4.6,1,0.020401085337739967
5f58140ca41f0037c385bc5c,SU,1.0,85.5404,3.8,2,0.011690382556078764
5efe640e0c3da136c6575e74,SU,1.0,19.3868,4.2,1,0.05158148843543029
5efe640e0c3da136c6575e74,SU,0.6,18.749200000000002,2.6,2,0.032001365391590035
5be4ad0aff68b30001975464,SU,1.0,27.263800000000003,5.0,1,0.03667867281890272
5be4ad0aff68b30001975464,SU,1.0,26.253200000000003,4.6,2,0.03809059467036399
5ee8a0884efd881a3e166a65,SU,0.6,29.9118,3.6,1,0.020058973381742323
5ee8a0884efd881a3e166a65,SU,0.6,20.168800000000005,4.4,2,0.029748919122605206
5f48c980d8963d38bc9e91b1,SU,1.0,24.9898,3.4,1,0.0400163266612778
5f48c980d8963d38bc9e91b1,SU,0.8,30.949,2.6,2,0.0258489773498336
5eeba61a6480680fa250a4f5,SU,1.0,44.833600000000004,4.2,1,0.022304700046393774
5eeba61a6480680fa250a4f5,SU,1.0,27.652199999999993,5.0,2,0.03616348789608061
5dc5da21d999de45a504651b,SU,1.0,46.938199999999995,3.8,1,0.021304609039119526
5dc5da21d999de45a504651b,SU,1.0,40.22180000000001,4.0,2,0.024862139436822812
5ac560359534ba0001c74715,SU,1.0,62.21939999999999,4.2,1,0.01607215755857498
5ac560359534ba0001c74715,SU,1.0,61.764800000000015,5.0,2,0.016190451519311966
5e59982929132107a864c783,SU,1.0,67.2982,5.0,1,0.014859238434311766
5e59982929132107a864c783,SU,0.8,56.5126,5.0,2,0.014156135091997184
5edeea354d54cb1a825aa8f9,SU,0.8,44.952,5.0,1,0.017796760989499914
5edeea354d54cb1a825aa8f9,SU,1.0,132.0976,4.4,2,0.007570160245152069
5f29987aaac0ef0d01b5ff65,SU,1.0,32.3464,3.8,1,0.03091534142903074
5f29987aaac0ef0d01b5ff65,SU,1.0,24.035599999999995,3.8,2,0.04160495265356389
5f479b66ccae1c18c6c17105,SU,0.8,26.607800000000005,5.0,1,0.030066371515119622
5f479b66ccae1c18c6c17105,SU,0.4,33.8982,5.0,2,0.011800036580113398
595bf7acc76e6700014d33fc,SU,1.0,48.498000000000005,4.2,1,0.020619406985855085
